distance,heart_rate,timestamp
7445.07,149,2025-10-12 12:37:25
7463.44,150,2025-10-12 12:37:28
7501.85,148,2025-10-12 12:37:35
7513.12,148,2025-10-12 12:37:37
7535.72,146,2025-10-12 12:37:41
7541.5,146,2025-10-12 12:37:42
7552.06,146,2025-10-12 12:37:44
7567.93,146,2025-10-12 12:37:47
7573.01,146,2025-10-12 12:37:48
7582.94,146,2025-10-12 12:37:50
7601.37,146,2025-10-12 12:37:54
7605.56,146,2025-10-12 12:37:55
7609.74,147,2025-10-12 12:37:56
7627.54,147,2025-10-12 12:38:00
7640.06,148,2025-10-12 12:38:03
7657.44,149,2025-10-12 12:38:07
7697.96,149,2025-10-12 12:38:17
7706.0,149,2025-10-12 12:38:19
7724.79,150,2025-10-12 12:38:24
7747.18,149,2025-10-12 12:38:30
7751.06,150,2025-10-12 12:38:31
7778.93,148,2025-10-12 12:38:38
7783.05,147,2025-10-12 12:38:39
7790.9,148,2025-10-12 12:38:41
7803.54,148,2025-10-12 12:38:44
7823.89,149,2025-10-12 12:38:49
7832.4,149,2025-10-12 12:38:51
7861.51,150,2025-10-12 12:38:58
7882.68,151,2025-10-12 12:39:03
7891.39,150,2025-10-12 12:39:05
7911.72,150,2025-10-12 12:39:10
7920.77,150,2025-10-12 12:39:12
7929.69,149,2025-10-12 12:39:14
7944.34,146,2025-10-12 12:39:17
7958.19,143,2025-10-12 12:39:20
7963.16,143,2025-10-12 12:39:21
7994.77,144,2025-10-12 12:39:28
7999.84,144,2025-10-12 12:39:29
8030.58,144,2025-10-12 12:39:35
8041.83,144,2025-10-12 12:39:37
8052.69,145,2025-10-12 12:39:39
8087.06,145,2025-10-12 12:39:45
8092.61,145,2025-10-12 12:39:46
8098.42,145,2025-10-12 12:39:47
8104.62,146,2025-10-12 12:39:48
8116.54,145,2025-10-12 12:39:50
8136.4,145,2025-10-12 12:39:53
8143.17,145,2025-10-12 12:39:54
8189.69,142,2025-10-12 12:40:01
8196.39,142,2025-10-12 12:40:02
8209.96,141,2025-10-12 12:40:04
8237.24,140,2025-10-12 12:40:08
8250.66,139,2025-10-12 12:40:10
8263.88,139,2025-10-12 12:40:12
8277.6,138,2025-10-12 12:40:14
8284.29,137,2025-10-12 12:40:15
8304.24,137,2025-10-12 12:40:18
8311.11,137,2025-10-12 12:40:19
8331.4,137,2025-10-12 12:40:22
8349.76,137,2025-10-12 12:40:25
8355.4,136,2025-10-12 12:40:26
8366.37,136,2025-10-12 12:40:28
8371.75,136,2025-10-12 12:40:29
8397.38,138,2025-10-12 12:40:34
8416.97,141,2025-10-12 12:40:38
8436.65,142,2025-10-12 12:40:42
8464.53,145,2025-10-12 12:40:47
8470.22,145,2025-10-12 12:40:48
8480.94,146,2025-10-12 12:40:50
8486.8,146,2025-10-12 12:40:51
8504.34,148,2025-10-12 12:40:54
8515.66,150,2025-10-12 12:40:56
8528.53,150,2025-10-12 12:40:58
8561.44,152,2025-10-12 12:41:03
8567.45,152,2025-10-12 12:41:04
8600.46,151,2025-10-12 12:41:09
8613.78,151,2025-10-12 12:41:11
8627.31,150,2025-10-12 12:41:13
8640.59,151,2025-10-12 12:41:15
8653.23,150,2025-10-12 12:41:17
8666.15,150,2025-10-12 12:41:19
8698.6,150,2025-10-12 12:41:24
8704.63,150,2025-10-12 12:41:25
8710.46,150,2025-10-12 12:41:26
8715.96,150,2025-10-12 12:41:27
8725.77,149,2025-10-12 12:41:29
8734.04,149,2025-10-12 12:41:31
8741.63,149,2025-10-12 12:41:33
8749.02,150,2025-10-12 12:41:35
8773.51,151,2025-10-12 12:41:42
8792.66,152,2025-10-12 12:41:48
8820.96,154,2025-10-12 12:41:56
8852.86,155,2025-10-12 12:42:04
8878.43,156,2025-10-12 12:42:10
8887.41,156,2025-10-12 12:42:12
8891.59,156,2025-10-12 12:42:13
8900.15,155,2025-10-12 12:42:15
8922.0,156,2025-10-12 12:42:20
8958.54,156,2025-10-12 12:42:28
8973.41,157,2025-10-12 12:42:31
8993.33,157,2025-10-12 12:42:35
8998.47,157,2025-10-12 12:42:36
9003.49,157,2025-10-12 12:42:37
9023.07,157,2025-10-12 12:42:41
9037.58,156,2025-10-12 12:42:44
9056.49,156,2025-10-12 12:42:48
9077.17,156,2025-10-12 12:42:52
9097.31,156,2025-10-12 12:42:56
9113.14,155,2025-10-12 12:42:59
9118.31,155,2025-10-12 12:43:00
9128.63,155,2025-10-12 12:43:02
9145.41,155,2025-10-12 12:43:05
9156.74,154,2025-10-12 12:43:07
9162.33,154,2025-10-12 12:43:08
9186.71,154,2025-10-12 12:43:12
9222.85,151,2025-10-12 12:43:18
9235.58,151,2025-10-12 12:43:20
9283.48,148,2025-10-12 12:43:27
9290.68,148,2025-10-12 12:43:28
9333.27,147,2025-10-12 12:43:34
9355.38,146,2025-10-12 12:43:37
9377.69,146,2025-10-12 12:43:40
9408.39,146,2025-10-12 12:43:44
9456.62,147,2025-10-12 12:43:50
9473.13,147,2025-10-12 12:43:52
9526.61,144,2025-10-12 12:43:59
9555.55,144,2025-10-12 12:44:03
9562.6,145,2025-10-12 12:44:04
9569.6,145,2025-10-12 12:44:05
9597.53,145,2025-10-12 12:44:09
9604.55,145,2025-10-12 12:44:10
9611.6,145,2025-10-12 12:44:11
9653.1,143,2025-10-12 12:44:17
9665.97,143,2025-10-12 12:44:19
9692.29,143,2025-10-12 12:44:23
9730.92,143,2025-10-12 12:44:29
9749.49,144,2025-10-12 12:44:32
9755.58,144,2025-10-12 12:44:33
9793.62,142,2025-10-12 12:44:39
9806.05,141,2025-10-12 12:44:41
9845.58,142,2025-10-12 12:44:47
9852.19,143,2025-10-12 12:44:48
9886.26,144,2025-10-12 12:44:53
9900.2,144,2025-10-12 12:44:55
9928.04,145,2025-10-12 12:44:59
9948.62,146,2025-10-12 12:45:02
9990.18,146,2025-10-12 12:45:08
10004.73,146,2025-10-12 12:45:10
10027.07,145,2025-10-12 12:45:13
10049.61,144,2025-10-12 12:45:16
10114.84,142,2025-10-12 12:45:24
10168.06,140,2025-10-12 12:45:31
10175.05,140,2025-10-12 12:45:32
10208.37,140,2025-10-12 12:45:37
